state_code,county_code,site_num,parameter_code,poc,latitude,longitude,datum,parameter_name,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method_name,local_site_name,address,state_name,county_name,city_name,cbsa_name,date_of_last_change
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,2005-12-24,Parts per million,None,23,96.0,0.621739,1.0,17,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-21
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,1995-10-23,Parts per million,None,24,100.0,1.425,2.2,6,25,,-,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-27
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1998-01-12,Parts per million,None,23,96.0,0.534783,1.0,20,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-15
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1998-05-28,Parts per million,None,23,96.0,0.417391,0.6,7,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-15
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1995-05-19,Parts per million,None,24,100.0,0.541667,0.8,11,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-27
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1990-10-12,Parts per million,None,24,100.0,1.875,3.0,7,,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-30
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,2001-09-04,Parts per million,None,23,96.0,0.426087,0.6,6,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-14
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,2003-10-07,Parts per million,None,24,100.0,0.483333,0.6,8,7,,-,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-22
06,075,0005,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,2012-09-19,Parts per million,None,24,100.0,0.341667,0.4,8,5,,-,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-08
06,075,0005,42101,1,37.765946,-122.399044,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,2007-01-30,Parts per million,None,23,96.0,0.704348,1.7,7,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",2016-04-12
