2003	757638 
2004	750133
2005	748846
2006	751431
2007	758348
2008	767067
2009	774347
2010 	805770
2011 	816294
2012  	830406
2013	841270
2014	853258
2015	866320
2016	876103
2017	884363
2018	884363
