Category,count_incidents,Year
ROBBERY,3978,2007
RUNAWAY,273,2007
SECONDARY CODES,1456,2007
"SEX OFFENSES, FORCIBLE",575,2007
"SEX OFFENSES, NON FORCIBLE",39,2007
STOLEN PROPERTY,527,2007
SUICIDE,109,2007
SUSPICIOUS OCC,4745,2007
TRESPASS,1197,2007
VANDALISM,7461,2007
VEHICLE THEFT,6377,2007
WARRANTS,6613,2007
WEAPON LAWS,1256,2007
ARSON,246,2008
ASSAULT,11564,2008
BAD CHECKS,78,2008
BRIBERY,49,2008
BURGLARY,5655,2008
DISORDERLY CONDUCT,773,2008
DRIVING UNDER THE INFLUENCE,407,2008
DRUG/NARCOTIC,8745,2008
DRUNKENNESS,710,2008
EMBEZZLEMENT,242,2008
EXTORTION,52,2008
FAMILY OFFENSES,72,2008
FORGERY/COUNTERFEITING,2377,2008
FRAUD,2488,2008
GAMBLING,26,2008
KIDNAPPING,333,2008
LARCENY/THEFT,25640,2008
LIQUOR LAWS,488,2008
LOITERING,441,2008
MISSING PERSON,3820,2008
NON-CRIMINAL,12159,2008
OTHER OFFENSES,21813,2008
PORNOGRAPHY/OBSCENE MAT,5,2008
PROSTITUTION,1351,2008
RECOVERED VEHICLE,833,2008
ROBBERY,4174,2008
RUNAWAY,259,2008
SECONDARY CODES,1567,2008
"SEX OFFENSES, FORCIBLE",626,2008
"SEX OFFENSES, NON FORCIBLE",20,2008
STOLEN PROPERTY,518,2008
SUICIDE,100,2008
SUSPICIOUS OCC,4701,2008
TRESPASS,1151,2008
VANDALISM,7226,2008
VEHICLE THEFT,5980,2008
WARRANTS,5517,2008
WEAPON LAWS,1369,2008
ARSON,219,2009
ASSAULT,10927,2009
BAD CHECKS,64,2009
BRIBERY,46,2009
BURGLARY,5355,2009
DISORDERLY CONDUCT,946,2009
DRIVING UNDER THE INFLUENCE,570,2009
DRUG/NARCOTIC,8238,2009
DRUNKENNESS,804,2009
EMBEZZLEMENT,209,2009
EXTORTION,92,2009
FAMILY OFFENSES,81,2009
FORGERY/COUNTERFEITING,2098,2009
FRAUD,2453,2009
GAMBLING,26,2009
KIDNAPPING,467,2009
LARCENY/THEFT,25382,2009
LIQUOR LAWS,389,2009
LOITERING,126,2009
MISSING PERSON,3262,2009
NON-CRIMINAL,12204,2009
OTHER OFFENSES,22546,2009
PROSTITUTION,1156,2009
RECOVERED VEHICLE,655,2009
ROBBERY,3546,2009
RUNAWAY,340,2009
SECONDARY CODES,1780,2009
"SEX OFFENSES, FORCIBLE",608,2009
"SEX OFFENSES, NON FORCIBLE",17,2009
STOLEN PROPERTY,657,2009
SUICIDE,81,2009
SUSPICIOUS OCC,4560,2009
TRESPASS,1232,2009
VANDALISM,7498,2009
